category,article_title,author_name,content_summary,publish_date,word_count,read_time,news_category,source_city
Business,Dianna Ebert,Easton_Bartoletti44@yahoo.com,,2024-12-07T09:31:13.274Z,987,15,,Lakinstead
Entertainment,Sylvia Schroeder,Eden_Hoeger@gmail.com,,2024-10-13T22:21:14.852Z,1613,7,,Raymondfield
Politics,Antonio Hyatt,Mathilde_Mraz86@yahoo.com,,2024-06-14T13:34:15.717Z,925,13,,Port Fernando
Health,Kenny Turner,Fiona_Mohr@yahoo.com,,2025-01-04T11:52:29.778Z,1598,6,,Lake Reginaldshire
Technology,Francisco Howe,Dillon_Schumm52@gmail.com,,2024-09-24T10:25:30.234Z,1712,2,,Grand Forks
Sports,Doyle O'Conner,Caroline_Zemlak38@gmail.com,,2024-09-24T14:58:59.542Z,1869,15,,Fort Susannafield
Science,Jesse Kulas,Eleonore.Swift-Bruen@gmail.com,,2024-12-01T18:37:03.680Z,173,6,,Waterloo
Travel,Miriam Bernier,Aric.OHara16@gmail.com,,2024-12-01T06:11:13.214Z,696,8,,Rockford
Lifestyle,Lance Kautzer,Dessie36@gmail.com,,2024-04-11T19:19:46.870Z,1713,8,,Brennonbury
Economy,Ashley Kemmer,Roslyn_Johns@yahoo.com,,2024-03-02T10:00:51.538Z,899,3,,West Kelly
Education,Mrs. Florence Hyatt III,Tatum_Schulist25@gmail.com,,2024-05-31T02:46:35.222Z,1816,15,,Seanbury
Environment,Betty Mitchell,Kyle.Blanda@hotmail.com,,2024-11-03T02:45:57.544Z,216,6,,East Stephaniestad
Art,Paulette Hane,Kenna63@yahoo.com,,2024-05-22T10:04:47.036Z,701,5,,New Virginie
Fashion,Sonia Stamm,Hailee.Berge@yahoo.com,,2024-10-29T06:57:56.247Z,1509,6,,West Braxtonburgh
Food,Dr. Ramiro Zemlak,Cristal80@gmail.com,,2024-03-29T05:01:24.761Z,823,1,,East Kameron
Gaming,Ms. Samantha DuBuque,Maximillia.Halvorson@gmail.com,,2024-11-02T22:02:15.427Z,1744,4,,Lake Estell
Music,Joshua Ledner,Lura49@yahoo.com,,2024-04-26T19:53:59.318Z,1019,5,,Port Rigobertomouth
Religion,Ella Kunze,Germaine95@yahoo.com,,2024-05-01T23:40:03.064Z,1792,4,,St. Louis Park
Weather,Beth Kub-Stamm,Jasmin_Harber-Renner@yahoo.com,,2024-10-02T15:52:30.531Z,305,7,,North Maxie
