category,full_name,age,face_symmetry,face_width,face_height,eye_color,hair_color,facial_id
Cluster1,Mr. Martin Stiedemann,9,1,249.47747526457533,215.09681516326964,#ee89ef,#934edb,zkRxP0JRDu
Cluster2,Hannah Kulas,71,1,166.7109363595955,294.0400572028011,#9f32b8,#721ca6,Z1GK5LZD0Y
Cluster3,Alexander Dietrich,16,1,144.76874759420753,192.80742835253477,#f1ea5f,#2ff344,qTlPp2C9Um
Cluster4,Danny Lemke,25,1,194.9054706725292,217.95339211821556,#eaf77e,#b15bd3,dGySAUvcIr
Cluster5,Tyrone Zboncak,84,1,104.3439278495498,230.17826243303716,#e8036d,#41aac7,rHYPKth4uQ
Cluster1,Mrs. Tanya Bashirian,6,1,114.70986986532807,201.2715311255306,#31a7ac,#70f15a,v03zJSpOBE
Cluster2,Francisco Oberbrunner,46,1,143.82475548190996,127.61359601281583,#ca1d13,#d8eedd,XaQ2VZgvyd
Cluster3,Marianne Mohr II,62,1,110.98153888015077,223.73918653465807,#61cfaa,#a891c0,R9b3kuxJ8l
Cluster4,Vickie Schroeder,7,1,142.1704126521945,288.0324841476977,#acb36e,#1147df,M3aUkGQCUk
Cluster5,Erik Hessel,20,1,236.7778972024098,280.3425849415362,#ec7e2c,#e885a3,e1srHu1B7M
Cluster1,Monique Shields,38,1,153.36792600573972,193.55490976013243,#5af7be,#9f1cd9,67eSWocrcM
Cluster2,Miss Emily Spinka,15,1,235.19810155266896,148.84077883325517,#ddbfe7,#f1eabf,vSeeI8ak8I
Cluster3,Darren Fritsch,45,1,145.76219349401072,129.12063617259264,#365ae3,#3c9d1d,zajry6I2PL
Cluster4,Dallas Prosacco,26,1,140.6838436727412,204.09437781199813,#6bcae2,#6f4755,oTN9rSKWPA
Cluster5,Isaac Hauck,12,1,205.2084435010329,123.60743065364659,#0efba1,#caddfe,AcopvUNdPo
Cluster1,Mr. Bert Hansen,7,1,220.95476380782202,279.30071796290576,#df7b38,#a3e45a,GvXAEgWvk5
Cluster2,Dr. Jamie Ziemann,24,1,157.253128325101,153.35250864736736,#de6fd1,#aa97db,wEQTQrwTwh
Cluster3,Daisy Murphy,62,1,227.10373206064105,174.00784539058805,#3bab6e,#2ea50d,SRTuYpLAWY
Cluster4,Misty Kohler,82,1,236.91823446424678,260.6425010599196,#aa5e48,#1cd3ab,kgxUM4h6s9
Cluster5,Rosa Bergstrom-Hahn MD,51,1,177.7958763181232,104.93738790974021,#28b797,#b6c528,GIiMt0S2F3
Cluster1,Anne Franey,88,1,248.89437119709328,293.64643627777696,#853eac,#babdf7,yO5rkM5oDT
Cluster2,Victoria Auer,50,1,102.65330538386479,143.7114608939737,#e3df32,#b108d5,lZTccB2ioZ
Cluster3,Terrell Lakin,54,1,122.0499535324052,156.98789828456938,#4baf70,#af4ab6,oIEc7tFvNZ
Cluster4,Mrs. Heidi Beier,98,1,113.12005689833313,274.1578867658973,#5e4f8b,#b293dd,0iVmTFCcDi
Cluster5,Lucas Larkin,93,1,168.97080320632085,140.20059504546225,#eaae4d,#af51ef,NApg44VH5m
Cluster1,Ms. Bessie Christiansen,42,1,198.73054904164746,116.52836590074003,#b8f5ee,#50ccf0,SNwfAvbVft
Cluster2,Vivian Hoeger,78,1,150.99349324591458,210.46740193851292,#c52f8d,#cf235f,U2dNPIfXWG
Cluster3,David Gislason,38,1,243.56785756535828,201.97839136235416,#bfc7bc,#79d0b3,B8JfPwNZbs
Cluster4,Mr. Phil Ritchie,30,1,181.71435901895165,297.8435811121017,#a5eb0c,#dbfda9,NoJ6NVI8fM
Cluster5,Deanna Lind Sr.,72,1,188.73879718594253,288.5026794858277,#cb5ded,#a2d411,gIoWfBlEDw
Cluster1,Mack McLaughlin,86,1,146.00647609913722,103.69936781935394,#fbbc9a,#6c7fc2,5S3HKbBOFs
Cluster2,Billie Block I,12,1,128.8468796061352,124.57590694539249,#8d2cbf,#0e6dfb,97Zy8VRcrX
Cluster3,Rachel Roob,5,1,176.0642265318893,156.68647666461766,#2fcbf4,#d8eb5f,tQJybCtrGM
Cluster4,Muriel Brown,44,1,185.5380990426056,254.4447221327573,#4eb7e2,#271159,qIgXFpE0t2
Cluster5,Cecil Daniel,14,1,206.65273192571476,283.9600299950689,#f2bc54,#d2d8f7,XzPvNVyrpa
Cluster1,Latoya Sauer,43,1,194.2468382534571,286.72419427894056,#aacbcf,#1bca0a,NrrQSX3SCL
Cluster2,Wayne Schiller,71,1,134.03426831355318,101.34268351830542,#e7515e,#53057b,f3LtTd22F2
Cluster3,Peggy Schultz,9,1,212.37543754978105,103.15250223502517,#876b23,#fa5c6c,g6Eegt122k
Cluster4,Holly Fisher,30,1,158.02962745074183,130.02281705848873,#9a354d,#a5b432,cwSzSSyoAc
Cluster5,Stewart Durgan,42,1,104.0749940671958,143.7473942991346,#fe4af4,#da496b,UeLFnTm7bf
Cluster1,Alexander Nicolas DDS,34,1,191.6083407937549,112.4754382763058,#a572ca,#b7ab3a,8vePoeoYjl
Cluster2,Kellie Mills,35,1,174.90368459839374,264.0205414034426,#de0ea4,#dab61a,Q08ANYxzcC
Cluster3,Dr. Reginald Ondricka-Hahn,54,1,198.65199761698022,113.85975810699165,#4f6bcb,#b95164,nWwtKZZnQY
Cluster4,Bessie Becker,99,1,131.26375105930492,204.72596734762192,#c7ca27,#7ae1f9,v164zbjDxg
Cluster5,Shannon Skiles,74,1,182.09169410401955,194.43623344413936,#7b52fa,#6f079e,xC9yTsMp3j
Cluster1,Dr. Belinda O'Kon,42,1,177.7053009835072,168.51869821548462,#99bc85,#2c5e3f,mVLJKZeOnF
Cluster2,Jacob Steuber,70,1,246.80045580025762,178.14241335727274,#adafa8,#d3aa8f,2RV0qSJDnC
Cluster3,Ramona Torphy,98,1,207.39584687398747,257.13462848216295,#e269a3,#4e5401,MplApbhRh8
Cluster4,Mr. Tom Turcotte,82,1,100.93983419938013,277.7972168754786,#6bc6ff,#8f46ea,pZqX4Ain8j
Cluster5,Jonathan Cruickshank,76,1,125.82287893164903,205.7058387901634,#985eea,#cab1bd,wHYRL4Vjvv
Cluster1,Edgar Nikolaus-Crona,45,1,183.65974209737033,168.97925967350602,#e444fb,#49adfa,CACPUJxBQV
Cluster2,Kim Gleichner Jr.,68,1,185.24098593043163,246.33084223605692,#31f8fc,#72deb8,69fAvPUJD7
Cluster3,Johnny Schimmel,84,1,144.25522107630968,243.91487971879542,#4ab5cb,#dfea3c,fIF1u4HvHX
Cluster4,Kendra Abbott-Leannon,19,1,225.7463137502782,149.371373699978,#d8b1a2,#6e59a7,ISXCPklCEL
Cluster5,Lynn Rempel,18,1,241.0462689353153,139.75937832146883,#5acf1e,#bc1caa,pn4RMCJihV
Cluster1,Marjorie O'Keefe,29,1,133.81629321957007,224.19570172205567,#c77f62,#7b3ed1,TStBggQXrm
Cluster2,Tim Luettgen,77,1,231.82286211522296,229.29092762060463,#fb0316,#0f9d4f,up2uduL0GK
Cluster3,Minnie Feil,72,1,226.50639206403866,289.242246048525,#bb1631,#6e9f07,oICrtT0iRW
Cluster4,Kristina Franecki-Jakubowski,11,1,136.5848065703176,105.1223439630121,#fbf9ba,#dcc42d,L2xRY4NyFP
Cluster5,Dr. Dana Wilderman,49,1,195.36961077246815,208.94513172097504,#5ae841,#20e46e,oX4xD4wpvs
Cluster1,Claire Daugherty,2,1,109.17619051178917,170.47108421102166,#b13fca,#9dc812,CqGF0mp80Z
Cluster2,Ryan Lind,72,1,246.65085363667458,109.65567021630704,#ed8a4c,#3e93c6,WEep2cncNb
Cluster3,Dr. Tommy Terry,21,1,243.42586665879935,209.95041760616004,#836cff,#e8ecfa,QuYcoDW6PQ
Cluster4,Cathy Gutmann,56,1,192.24699361948296,100.43946565128863,#098cb8,#938336,RL4KKfLuIb
Cluster5,Jim Schaefer,18,1,157.58734532864764,141.83835848234594,#7faded,#1cbeca,FFj1yzqXrP
Cluster1,Leroy Dietrich,98,1,110.26229440467432,271.9884322024882,#9caf1c,#f4b260,Jezx6l6JWD
Cluster2,Perry Bode,62,1,196.44424738362432,223.5882345121354,#cad16f,#91e655,U4QvdOkxiy
Cluster3,Dr. Simon Lueilwitz,34,1,149.52894513262436,244.28496113978326,#d466fc,#b296b5,8FDwANLEe1
Cluster4,Gregg Crooks,28,1,101.68786474969238,284.41882971674204,#cb091e,#f138fa,exV3f48mrt
Cluster5,Marian Reinger,92,1,192.49244703678414,135.5457378551364,#be7b7f,#e331e0,6cHqRnetu1
Cluster1,Eddie Mayer,17,1,216.74660665448755,201.79213653318584,#1d0009,#bd6cbe,rrwsrWvMMi
Cluster2,Heather Emard,19,1,186.31945038214326,109.08534326590598,#03d47b,#7d3eab,8h0HLtZ6J5
Cluster3,Dr. Darren Zemlak,54,1,124.09641300328076,212.41125627420843,#5c45db,#6abca8,y9y9O0VRRY
Cluster4,Bonnie Rodriguez,20,1,162.5354427844286,218.13678750768304,#57da9e,#d2b31c,sKCaA6bM2v
Cluster5,Daisy Cruickshank,90,1,239.40091461408883,235.65559866838157,#85e8cd,#f3a9ad,QyPF43N4zp
Cluster1,Blake Wehner,48,1,219.825208093971,184.54090794548392,#fc155c,#21bee9,rauErzjwKo
Cluster2,Jessie Hettinger DDS,15,1,203.5966821014881,295.73564385063946,#9a4a9f,#e2cd3c,0j2uBfR23m
Cluster3,Patti Bins,7,1,113.84530452778563,282.85254081711173,#cc2df8,#0bcacf,r5abSokJwT
Cluster4,Dr. Christie Denesik,46,1,216.42275170888752,255.80146540887654,#ecdb4b,#2cfa90,ZM2c6vQq4i
Cluster5,Doug Spinka,3,1,186.01049901917577,182.73925557732582,#82a6cd,#46d7c4,vdu5LNvWq7
Cluster1,Mae Sauer Sr.,1,1,172.46881695464253,140.899344580248,#1b7439,#3b34ef,E8X8SD7RU6
Cluster2,Edward Feeney,17,1,160.7350187492557,281.3912508543581,#739401,#17d21f,9YYHplYX1y
Cluster3,Eula Powlowski,59,1,147.55297366064042,171.53704944066703,#49b660,#021ab0,CsYmGSmNqg
Cluster4,Krista Smith,82,1,216.9035985483788,143.7545564956963,#b79667,#ecf2da,gKx8DDGlUj
Cluster5,Caleb Hackett,4,1,193.7836363329552,164.38768077641726,#cffcbd,#7a09ab,tRgFia9pRj
Cluster1,Marian Koch,36,1,157.75172915309668,255.8586441911757,#3ddf58,#a373c2,YFi4Vb3OEc
Cluster2,Alfonso Rodriguez,63,1,121.98606258025393,231.21343655511737,#20c29c,#6ccf4e,HRd8o9ShIB
Cluster3,Terrence Botsford,49,1,234.76286864606664,282.5988720636815,#afd0f7,#2a2a21,oXfJKXhcSx
Cluster4,Misty Jones,61,1,234.20568309957162,172.38718001171947,#c8b545,#f5039a,qcSVrvYTIu
Cluster5,Lamar Stroman,20,1,229.2880164575763,203.53790912777185,#b97cec,#47d6e8,laWcD9BAmP
Cluster1,Kathryn Nader,87,1,174.9544005957432,105.98047911189497,#82b486,#7ad94e,H8O2rPduJV
Cluster2,Miss Jessie Nikolaus,4,1,209.50647382996976,286.75988311879337,#3e02bb,#daa83d,FflUyEXWnR
Cluster3,Marianne Marks Jr.,15,1,190.7104715355672,125.97026801668108,#e7cec0,#dc9b98,YGdUmqZuIX
Cluster4,Cecilia McLaughlin,80,1,140.39285553153604,161.04045524261892,#1aacf2,#f662fb,MylkxEGNeY
Cluster5,Geoffrey Dietrich PhD,69,1,135.45086844824255,279.84240213409066,#bd9ebd,#22c55b,uttcOfuDNs
Cluster1,Claudia Stoltenberg,22,1,174.0280396072194,129.1702896822244,#ccfffa,#a47e37,1VRDlJGIF1
Cluster2,Suzanne Goldner,35,1,136.34864176856354,171.244503185153,#cd5bda,#cff8ac,XKHkvO3vlF
Cluster3,Nicolas Howell,75,1,118.33005889784545,273.28377636149526,#f64662,#fdfe6c,ywrv8olZgc
Cluster4,Oliver Carroll,73,1,161.57920844852924,248.39554713107646,#6eefe0,#faf4be,dkvnyG6yGP
Cluster5,Oliver McDermott,4,1,156.45019941730425,142.8276814520359,#beb253,#bfd5be,Q2nTdw9oPV
Cluster1,Ms. Elsie Paucek,98,1,190.43147244956344,102.95087974518538,#fffb47,#321abc,3YORKB7pIu
Cluster2,Annie Hahn DDS,40,1,126.29516194574535,217.5368166062981,#93559b,#6541b3,9DnoNo2iF2
Cluster3,Dr. Clara Stracke I,64,1,149.71780132036656,157.8250716906041,#d5b3af,#fa738f,aIJrZeXiUx
Cluster4,Michele Boehm,91,1,236.54238884337246,170.2709606848657,#1a521e,#e0f9ce,jD4fCkHBam
Cluster5,Delia Balistreri,9,1,185.80786410020664,182.21874781884253,#4a1c7f,#2d17d4,Nm9erhWoQr
Cluster1,Simon Dickens IV,91,1,172.89359577698633,118.88281940482557,#ee92d0,#171ec2,HeqJpVNEMD
Cluster2,Andrea O'Keefe,62,1,177.30489411624148,228.794762538746,#bacca8,#d96a25,SEnYreSDAm
Cluster3,Jerry Ritchie,86,1,185.07006788859144,167.0688952319324,#cafe9f,#f05fb0,l3p3FwJT1k
Cluster4,Jenna Klein,63,1,202.30734000215307,235.54722550325096,#56a6df,#8cdd9c,TUaBVOumV1
Cluster5,Erin Mohr,26,1,107.64765138737857,116.34396929293871,#7ed1dc,#98ba3b,NOvxgXnRXT
Cluster1,Shawna Howell,69,1,143.53646236704662,208.50230930373073,#f9c4ee,#aaaef1,vNJM9gTHx7
Cluster2,Rick Funk,8,1,168.86619213037193,236.41532412730157,#b7a384,#65d63f,AQdLs0Pws2
Cluster3,Dixie Cummings,5,1,114.00393756339327,161.24715614132583,#9b7f6b,#01ffce,XZxxRnqske
Cluster4,Dr. Edgar Abernathy,90,1,138.06027927203104,151.5364990569651,#e7c7e7,#fcc1d1,EmYVSMVupD
Cluster5,Alex Adams DDS,97,1,104.13588468218222,203.65361175499856,#06bf67,#533dec,P0xhhCJ5Yj
Cluster1,Ebony Littel-Spinka,93,1,232.89769189432263,197.71950305439532,#bc94b8,#563ffc,h7JUrTlV49
Cluster2,Kim Crist,6,1,237.55220952443779,263.50281964987516,#5ebb1c,#3c49ff,qJL7S4jpql
Cluster3,Terry Abshire IV,27,1,245.48903161194175,115.81012913957238,#6b4afc,#53a38b,oODjeNW5H0
Cluster4,Lonnie Dach,19,1,215.61358177568763,167.68601052463055,#bf7bf7,#cde47f,0DWoFspIpr
